order_item_id,order_id,product_id,quantity,unit_price
1,1,1,1,79.99
2,2,2,1,19.99
3,2,3,1,24.99
4,3,11,1,129.99
5,4,8,1,89.99
6,5,24,1,149.99
7,6,24,1,199.99
8,7,37,1,59.99
9,8,5,1,34.99
10,8,9,1,14.99
11,8,13,1,24.99
12,8,17,1,49.99
13,9,20,1,119.99
14,10,29,1,249.99
15,11,8,1,89.99
16,12,20,1,119.99
17,13,30,1,179.99
18,14,5,1,34.99
19,15,24,1,149.99
20,16,25,1,99.99
21,17,39,1,64.99
22,18,24,1,199.99
23,19,20,1,119.99
24,20,32,1,129.99
25,21,8,1,89.99
26,22,24,1,149.99
27,23,19,1,39.99
28,24,29,1,249.99
29,25,25,1,99.99
30,26,20,1,119.99
31,27,20,1,119.99
32,28,8,1,89.99
33,29,30,1,179.99
34,30,5,1,34.99
35,31,24,1,149.99
36,32,24,1,199.99
37,33,20,1,119.99
38,34,32,1,129.99
39,35,8,1,89.99
40,36,24,1,149.99
41,37,25,1,99.99
42,38,20,1,119.99
43,39,20,1,119.99
44,40,8,1,89.99
45,41,30,1,179.99
46,42,5,1,34.99
47,43,24,1,149.99
48,44,24,1,199.99
49,45,20,1,119.99
50,46,32,1,129.99
51,47,8,1,89.99
52,48,24,1,149.99
53,49,25,1,99.99
54,50,20,1,119.99
55,51,20,1,119.99
56,52,8,1,89.99
57,53,30,1,179.99
58,54,5,1,34.99
59,55,24,1,149.99
60,56,24,1,199.99
61,57,20,1,119.99
62,58,32,1,129.99
63,59,8,1,89.99
64,60,24,1,149.99
65,61,25,1,99.99
66,62,20,1,119.99
67,63,20,1,119.99
68,64,8,1,89.99
69,65,30,1,179.99
70,66,5,1,34.99
71,67,24,1,149.99
72,68,24,1,199.99
73,69,20,1,119.99
74,70,32,1,129.99
75,71,8,1,89.99
76,72,24,1,149.99
77,73,25,1,99.99
78,74,20,1,119.99
79,75,20,1,119.99
80,76,8,1,89.99
81,77,30,1,179.99
82,78,5,1,34.99
83,79,24,1,149.99
84,80,24,1,199.99
85,81,20,1,119.99
86,82,32,1,129.99
87,83,8,1,89.99
88,84,24,1,149.99
89,85,25,1,99.99
90,86,20,1,119.99
91,87,20,1,119.99
92,88,8,1,89.99
93,89,30,1,179.99
94,90,5,1,34.99
95,91,24,1,149.99
96,92,24,1,199.99
97,93,20,1,119.99
98,94,32,1,129.99
99,95,8,1,89.99
100,96,24,1,149.99
101,97,25,1,99.99
102,98,20,1,119.99
103,99,20,1,119.99
104,100,8,1,89.99
105,101,30,1,179.99
106,102,5,1,34.99
107,103,24,1,149.99
108,104,24,1,199.99
109,105,20,1,119.99
110,106,32,1,129.99
111,107,8,1,89.99
112,108,24,1,149.99
113,109,25,1,99.99
114,110,20,1,119.99
115,111,20,1,119.99
116,112,8,1,89.99
117,113,30,1,179.99
118,114,5,1,34.99
119,115,24,1,149.99
120,116,24,1,199.99
121,117,20,1,119.99
122,118,32,1,129.99
123,119,8,1,89.99
124,120,24,1,149.99
125,121,25,1,99.99
126,122,20,1,119.99
127,123,20,1,119.99
128,124,8,1,89.99
129,125,30,1,179.99
130,126,5,1,34.99
131,127,24,1,149.99
132,128,24,1,199.99
133,129,20,1,119.99
134,130,32,1,129.99
135,131,8,1,89.99
136,132,24,1,149.99
137,133,25,1,99.99
138,134,20,1,119.99
139,135,20,1,119.99
140,136,8,1,89.99
141,137,30,1,179.99
142,138,5,1,34.99
143,139,24,1,149.99
144,140,24,1,199.99
145,141,20,1,119.99
146,142,32,1,129.99
147,143,8,1,89.99
148,144,24,1,149.99
149,145,25,1,99.99
150,146,20,1,119.99
151,147,20,1,119.99
152,148,8,1,89.99
153,149,30,1,179.99
154,150,5,1,34.99
155,151,24,1,149.99
156,152,24,1,199.99
157,153,20,1,119.99
158,154,32,1,129.99
159,155,8,1,89.99
160,156,24,1,149.99
161,157,25,1,99.99
162,158,20,1,119.99
163,159,20,1,119.99
164,160,8,1,89.99
165,161,30,1,179.99
166,162,5,1,34.99
167,163,24,1,149.99
168,164,24,1,199.99
169,165,20,1,119.99
170,166,32,1,129.99
171,167,8,1,89.99
172,168,24,1,149.99
173,169,25,1,99.99
174,170,20,1,119.99
175,171,20,1,119.99
176,172,8,1,89.99
177,173,30,1,179.99
178,174,5,1,34.99
179,175,24,1,149.99
180,176,24,1,199.99
181,177,20,1,119.99
182,178,32,1,129.99
183,179,8,1,89.99
184,180,24,1,149.99
185,181,25,1,99.99
186,182,20,1,119.99
187,183,20,1,119.99
188,184,8,1,89.99
189,185,30,1,179.99
190,186,5,1,34.99
191,187,24,1,149.99
192,188,24,1,199.99
193,189,20,1,119.99
194,190,32,1,129.99
195,191,8,1,89.99
196,192,24,1,149.99
197,193,25,1,99.99
198,194,20,1,119.99
199,195,20,1,119.99
200,196,8,1,89.99
201,197,30,1,179.99
202,198,5,1,34.99
203,199,24,1,149.99
